Nested logit of heating and cooling system choice of 250 houses.
Checking the data and specifications.
Inputs have been checked and look fine.
Start estimation
The negative of the log-likelihood is minimized,
which is the same as maximizing the log-likelihood.
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     0          11          486.478                      4.02e+03
     1          44          431.685    2.10899e-05            585  
     2          55          420.371              1            531  
     3          77          402.064       0.421143            341  
     4          88          398.967              1            239  
     5          99          367.624              1            331  
     6         110          359.563              1            268  
     7         121          349.778              1            192  
     8         132          343.274              1            181  
     9         143            338.5              1            169  
    10         154          335.039              1            221  
    11         165           330.69              1            269  
    12         176          322.893              1            322  
    13         187          308.388              1            377  
    14         198          284.528              1            402  
    15         209          261.764              1            230  
    16         220           258.67              1           89.3  
    17         231          257.989              1           83.5  
    18         242          257.725              1           83.8  
    19         253          256.984              1           83.1  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    20         264          256.419              1           82.4  
    21         275          253.255              1           79.2  
    22         286          246.673              1            140  
    23         297          227.975              1            231  
    24         308          194.246              1            287  
    25         319          169.682              1            248  
    26         330          158.557              1            186  
    27         341          151.353              1           40.7  
    28         352          150.536              1           21.9  
    29         363          150.358              1           21.3  
    30         374          150.206              1           10.5  
    31         385            150.2              1             10  
    32         396          150.195              1           9.34  
    33         407           150.19              1           8.84  
    34         418          150.175              1           7.77  
    35         429           150.14              1           6.89  
    36         440          150.049              1           10.2  
    37         451          149.837              1           14.7  
    38         462          149.398              1           19.7  
    39         473          148.643              1           21.2  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    40         484          147.659              1           13.7  
    41         506          147.475       0.564839           4.08  
    42         517          147.468              1           4.37  
    43         528          147.463              1           4.21  
    44         539          147.462              1           4.24  
    45         550          147.458              1           4.22  
    46         561          147.446              1           4.41  
    47         572          147.417              1           4.24  
    48         583          147.334              1           4.46  
    49         594          147.035              1            8.7  
    50         605          146.472              1           15.1  
    51         616          145.648              1           12.8  
    52         627          143.855              1           9.36  
    53         638          143.627              1           11.8  
    54         649          143.597              1           3.46  
    55         660          143.596              1           3.42  
    56         671          143.595              1           3.41  
    57         682          143.594              1           3.39  
    58         693           143.59              1           3.36  
    59         704           143.58              1           3.45  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    60         715          143.555              1            5.9  
    61         726          143.491              1           9.57  
    62         737          143.334              1           14.9  
    63         748          142.973              1           21.8  
    64         759          142.278              1           27.9  
    65         770          141.474              1           25.4  
    66         781          141.105              1           14.4  
    67         792          140.926              1           1.21  
    68         803          140.881              1           3.28  
    69         814          140.878              1           1.03  
    70         825          140.878              1           1.05  
    71         836          140.878              1           1.06  
    72         847          140.878              1           1.07  
    73         858          140.877              1           1.41  
    74         869          140.876              1           2.64  
    75         880          140.871              1           4.49  
    76         891           140.86              1           7.11  
    77         902          140.837              1           10.1  
    78         913          140.797              1           11.6  
    79         924          140.752              1           9.02  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    80         935          140.726              1           3.62  
    81         946          140.721              1          0.559  
    82         957          140.721              1          0.191  
    83         968          140.721              1          0.186  
    84         979          140.721              1          0.185  
    85         990          140.721              1          0.183  
    86        1001          140.721              1           0.18  
    87        1012          140.721              1          0.312  
    88        1023           140.72              1          0.558  
    89        1034           140.72              1          0.965  
    90        1045          140.718              1           1.61  
    91        1056          140.715              1           2.62  
    92        1067          140.706              1            4.1  
    93        1078          140.687              1           5.87  
    94        1089          140.652              1           6.86  
    95        1100          140.613              1           5.34  
    96        1111          140.593              1           2.13  
    97        1122           140.59              1          0.447  
    98        1133           140.59              1          0.423  
    99        1144           140.59              1          0.419  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   100        1155           140.59              1          0.417  
   101        1166           140.59              1          0.413  
   102        1177           140.59              1          0.407  
   103        1188           140.59              1          0.396  
   104        1199          140.589    
